"feature"	"structurePerIdRank"	"formulaRank"	"ConfidenceScoreExact"	"ConfidenceScoreApproximate"	"CSI.FingerIDScore"	"ZodiacScore"	"SiriusScore"	"molecularFormula"	"adduct"	"precursorFormula"	"InChIkey2D"	"InChI"	"name"	"smiles"	"xlogp"	"pubchemids"	"links"	"dbflags"	"ionMass"	"retentionTimeInSeconds"	"retentionTimeInMinutes"	"formulaId"	"alignedFeatureId"	"mappingFeatureId"	"overallFeatureQuality"	"NPC.pathway"	"NPC.pathway.Probability"	"NPC.superclass"	"NPC.superclass.Probability"	"NPC.class"	"NPC.class.Probability"	"ClassyFire.superclass"	"ClassyFire.superclass.probability"	"ClassyFire.class"	"ClassyFire.class.Probability"	"ClassyFire.subclass"	"ClassyFire.subclass.Probability"	"ClassyFire.level.5"	"ClassyFire.level.5.Probability"	"ClassyFire.most.specific.class"	"ClassyFire.most.specific.class.Probability"	"ClassyFire.all.classifications"	"Avena.sativa"	"Chelidonium.majus"	"Cinchona.pubescens"	"Citrullus.colocynthis."	"Colon.Suis.D4"	"Cynara.scolymus"	"Duodenum.Suis.D4"	"Hepar.comp.Ampoules..Bulk.mat.52324."	"Hepar.Suis.D4"	"Hepeel.ampoule.solution..Bulk"	"Lycopodium.clavatum"	"Mixture.analogue.Hepar"	"Mixture.analogue.Hepeel."	"Myristica.fragrans."	"Negative.Control"	"Negative.control..Wfi.with.NaCl."	"Pankreas.Suis.D4"	"positive.Control"	"Silybum.marianum."	"Taraxacum.officinale"	"Thymus.Suis.D4"	"Veratrum.album"	"Vesica.Fellea.Suis.D4"
"P_3303"	1	2	0.372	0.372	-45.166	NA	8.382	"C10H8N"	"[M + H]+"	"C10H9N+"	"CHNCCIGMBOBFSB"	"InChI=1S/C10H8N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H"	""	"C1=CC=C2C=C(C=CC2=C1)[NH]"	2.263	"12104318"	"PUBCHEM:(12104318)"	2	143.072	178	2.973	637173386660088960	637163397672770304	3303	NA	"Alkaloids"	0.963	"Tryptophan alkaloids"	0.644	"Simple indole alkaloids"	0.125	"Benzenoids"	0.998	"Naphthalenes"	0.829	""	NA	""	NA	"Naphthalenes"	0.829	"Organic compounds; Naphthalenes; Organonitrogen compounds; Benzenoids; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	781	192	37074	965	40	339	38	42	39	28	680	14193	9491	456	21	17	25	27	871	419	25	662	29
"P_4621"	1	1	0.609	0.609	-63.116	NA	72.871	"C10H10N2"	"[M + H]+"	"C10H11N2+"	"DCXUMIPCJIGNQW"	"InChI=1S/C10H10N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,6-7,11-12H,5H2"	"(1Z)-2-(1H-indol-3-yl)ethanimine"	"C1=CC=C2C(=C1)C(=CN2)CC=N"	1.89	"20846114"	"PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(20846114);PUBMED:(null)"	16777282	159.09	180	3.004	637174298233528448	637163457395471488	4621	NA	"Alkaloids"	0.992	"Tryptophan alkaloids"	0.955	"Simple indole alkaloids"	0.942	"Organoheterocyclic compounds"	0.957	"Indoles and derivatives"	0.801	"Indoles"	0.78	""	NA	"Indoles"	0.78	"Organic compounds; Organoheterocyclic compounds; Pyrroles; Indoles and derivatives; Organonitrogen compounds; Benzenoids; Amines; Primary amines; Indoles; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	0	181	0	1351	34	186	24	33	39	16	1091	0	0	428	20	10	20	9	236	170	16	925	22
"P_4278"	1	1	0.161	0.542	-41.143	NA	72.455	"C7H6O4"	"[M + H]+"	"C7H7O4+"	"YQUVCSBJEUQKSH"	"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)"	"Protocatehuic Acid"	"C1=CC(=C(C=C1C(=O)O)O)O"	0.475	"101076872;144332559;162642118;25214153;10534893;10630736;10678455;72;54675866"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0001856);MiMeDB:(MMDBc0048013 MMDBc0049961 MMDBc0054247);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(72 54675866);SUPERNATURAL:(SN0457823);MESH:(72 54675866);FooDB:(FDB031135);PUBCHEM:(101076872 144332559 162642118 25214153 10534893 10630736 10678455 72 54675866);COCONUT:(CNP0348948);NORMAN:(NS00014667);METACYC:(3-4-DIHYDROXYBENZOATE);PLANTCYC:(3-4-DIHYDROXYBENZOATE);CHEBI:(36062 36241);KEGG:(C00230);DSSTox:(DTXSID4021212 DTXSID40668229);LOTUS:(Q418599);YMDB:(YMDB01321);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(YQUVCSBJEUQKSH-UHFFFAOYSA-N)"	139577461118	155.034	181	3.015	637174010827163136	637163441712967168	4278	NA	"Shikimates and Phenylpropanoids"	0.994	"Phenolic acids (C6-C1)"	0.998	"Simple phenolic acids"	0.994	"Benzenoids"	0.981	"Benzene and substituted derivatives"	0.973	"Benzoic acids and derivatives"	0.931	"Hydroxybenzoic acid derivatives"	0.86	"Salicylic acids"	0.542	"Organic compounds; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Benzenediols; Benzene and substituted derivatives; Benzenoids; Salicylic acids; Benzoic acids; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	12902	5861	100778	4052	34	3479	32	18	13	22	4048	186727	70995	395524	47	27	44	70	111872	142926	31	80961	69
"P_5822"	1	1	0.442	0.528	-62.792	NA	32.468	"C11H11NO"	"[M + H]+"	"C11H12NO+"	"ZCHAUSWCWZYCNG"	"InChI=1S/C11H11NO/c1-7-8(2)12-10-6-4-3-5-9(10)11(7)13/h3-6H,1-2H3,(H,12,13)"	"2,3-dimethyl-1,4-dihydroquinolin-4-one"	"CC1=C(NC2=CC=CC=C2C1=O)C"	2.3	"237396"	"COCONUT:(CNP0174314);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0466544);PUBCHEM:(237396);DSSTox:(DTXSID70285180);LOTUS:(Q82020460)"	137777643522	174.09	182	3.035	637175383212112384	637163510604418048	5822	NA	"Alkaloids"	0.997	"Anthranilic acid alkaloids"	0.741	"Quinoline alkaloids"	0.943	"Organoheterocyclic compounds"	0.995	"Quinolines and derivatives"	0.85	"Quinolones and derivatives"	0.559	""	NA	"Quinolones and derivatives"	0.559	"Organic compounds; Organoheterocyclic compounds; Quinolones and derivatives; Pyridines and derivatives; Organonitrogen compounds; Organooxygen compounds; Quinolines and derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	621	36	19455	180	36	166	11	88	21	44	321	2654	3448	99	61	25	25	24	919	414	35	281	22
"P_1780"	1	1	0.348	0.684	-38.676	NA	13.774	"C7H6O3"	"[M - H2O + H]+"	"C7H5O2+"	"YGSDEFSMJLZEOE"	"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)"	"Saligel"	"C1=CC=C(C(=C1)C(=O)O)O"	0.897	"102602065;155803953;135034635;118212070;102100676;102331052;140849591;90646838;153694051;153951960;131698722;123799354;149354652;338;134971;450660;46782907;46782908;12217761;12217763;12217766;12217770;90139690;18681510;54675850;71309006;57607825;57607831"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0001895 HMDB0302214);MiMeDB:(MMDBc0000777 MMDBc0054663);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23663621 16760658 54697583 54675850 338);SUPERNATURAL:(SN0449952);HSDB:(69-72-7);MESH:(338 54675850);FooDB:(FDB003693 FDB031164);PUBCHEM:(102602065 155803953 135034635 118212070 102100676 102331052 140849591 90646838 153694051 153951960 131698722 123799354 149354652 338 134971 450660 46782907 46782908 12217761 12217763 12217766 12217770 90139690 18681510 54675850 71309006 57607825 57607831);COCONUT:(CNP0230203);NORMAN:(NS00010274 NS00080372 NS00080376);METACYC:(CPD0-621 CPD-110);PLANTCYC:(CPD-110);CHEBI:(30762 9180 16914 178057);KEGG:(C00805);DSSTox:(DTXSID10676139 DTXSID20676140 DTXSID30883424 DTXSID5021708 DTXSID60889616 DTXSID7026368 DTXSID70948389 DTXSID70954768 DTXSID80883439 DTXSID80889734 DTXSID9060366);LOTUS:(Q193572);YMDB:(YMDB01322);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(YGSDEFSMJLZEOE-UHFFFAOYSA-N)"	139577461630	121.028	183	3.053	637172684713814656	637163331125935360	1780	NA	"Shikimates and Phenylpropanoids"	0.995	"Phenolic acids (C6-C1)"	0.999	"Simple phenolic acids"	0.998	"Benzenoids"	0.99	"Benzene and substituted derivatives"	0.979	"Benzoic acids and derivatives"	0.935	"Hydroxybenzoic acid derivatives"	0.711	"Hydroxybenzoic acid derivatives"	0.711	"Organic compounds; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	1439	1526	2845	35429	208	3072	420	264	216	393	2169	3388	12678	1273	298	246	484	278	24020	5107	483	2042	187
"P_5419"	1	1	0.249	0.319	-99.235	NA	27.468	"C8H8O4"	"[M + H]+"	"C8H9O4+"	"WKOLLVMJNQIZCI"	"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)"	"Vanillic Acid"	"COC1=C(C=CC(=C1)C(=O)O)O"	0.884	"102295056;102295057;71752915;131708670;10535133;10630957;10749645;8468;12358657;54675858"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000484);MiMeDB:(MMDBc0000107 MMDBc0054270);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(8468);SUPERNATURAL:(SN0412802);MESH:(8468);FooDB:(FDB000846);PUBCHEM:(102295056 102295057 71752915 131708670 10535133 10630957 10749645 8468 12358657 54675858);GNPS:(CCMSLIB00000578324);COCONUT:(CNP0122021);NORMAN:(NS00014581 NS00103831);METACYC:(VANILLATE);PLANTCYC:(VANILLATE);CHEBI:(132748 16632 30816);KEGG:(C06672);DSSTox:(DTXSID00635497 DTXSID6059522);LOTUS:(Q419672);YMDB:(YMDB01802);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(WKOLLVMJNQIZCI-UHFFFAOYSA-N)"	139577465214	169.048	185	3.084	637174966608572672	637163493709759488	5419	NA	"Shikimates and Phenylpropanoids"	0.936	"Phenolic acids (C6-C1)"	0.905	"Simple phenolic acids"	0.896	"Benzenoids"	0.799	"Benzene and substituted derivatives"	0.715	"Benzoyl derivatives"	0.57	""	NA	"Benzoyl derivatives"	0.57	"Organic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	471	351	6516	56243	42	18276	71	43	41	49	1506	13765	26114	16597	48	96	43	45	77934	19790	38	12966	47
"P_8346"	1	1	0.359	0.578	-68.613	NA	44.928	"C11H9NO3"	"[M + H]+"	"C11H10NO3+"	"XXLFLUJXWKXUGS"	"InChI=1S/C11H9NO3/c1-15-7-2-3-10-9(6-7)8(11(13)14)4-5-12-10/h2-6H,1H3,(H,13,14)"	"6-Methoxyquinoline-4-Carboxylic Acid"	"COC1=CC2=C(C=CN=C2C=C1)C(=O)O"	1.7	"20470293;345824"	"COCONUT:(CNP0242889);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0442699);PUBCHEM:(20470293 345824);DSSTox:(DTXSID70323339);LOTUS:(Q27278170);PUBMED:(null)"	137777643586	204.066	188	3.138	637179029518343040	637163610340785408	8346	NA	"Alkaloids"	0.999	"Anthranilic acid alkaloids"	0.491	"Quinoline alkaloids"	0.508	"Organoheterocyclic compounds"	0.999	"Quinolines and derivatives"	0.877	""	NA	""	NA	"Quinolines and derivatives"	0.877	"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Quinolines and derivatives; Phenol ethers; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	500	975	4509441	15043	13	322	14	25	35	46	143	16354	15931	171	21	10	15	9	827	537	29	882	6
"P_4874"	1	1	0.928	0.985	-18.763	NA	56.231	"C18H16O8"	"[M - C9H10O5 + H]+"	"C9H7O3+"	"DOUMFZQKYFQNTF"	"InChI=1S/C18H16O8/c19-12-4-1-10(7-14(12)21)3-6-17(23)26-16(18(24)25)9-11-2-5-13(20)15(22)8-11/h1-8,16,19-22H,9H2,(H,24,25)"	"Rosmarinic"	"C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O"	2.4	"9841799;6604740;5281792;5315614;5315615;25245604;639655;45934363;5099;65035;439589"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0003572 HMDB0257311);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5281792 5099 639655);SUPERNATURAL:(SN0071428);HSDB:(537-15-5);MESH:(5281792 5315615);FooDB:(FDB002427);PUBCHEM:(9841799 6604740 5281792 5315614 5315615 25245604 639655 45934363 5099 65035 439589);GNPS:(CCMSLIB00003135339 CCMSLIB00000078888);COCONUT:(CNP0243825);NORMAN:(NS00014042);METACYC:(CPD-25183 CPD-25192 CPD-6981 Galacturonans);PLANTCYC:(CPD-6981);CHEBI:(17226 71493 92370 50372 50371 58062);KEGG:(C01850);DSSTox:(DTXSID20896987 DTXSID20897055 DTXSID70896992);LOTUS:(Q27122042 Q104986210 Q7762 Q50380051 Q104888450);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(DOUMFZQKYFQNTF-UHFFFAOYSA-N)"	138369440638	163.039	188	3.139	637174453263420416	637163468741065088	4874	NA	"Shikimates and Phenylpropanoids"	0.996	"Phenylpropanoids (C6-C3)"	0.987	"Cinnamic acids and derivatives"	0.988	"Phenylpropanoids and polyketides"	0.998	"Cinnamic acids and derivatives"	0.997	"Hydroxycinnamic acids and derivatives"	0.996	"Coumaric acids and derivatives"	0.994	"Coumaric acids and derivatives"	0.994	"Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Phenols; Catechols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Benzenediols; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanoic acids; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	1830	367	16826	597	73	397824	132	59	120	70	208	151811	4193	5322	102	70	45	55	51684	734886	64	14314	40
"P_13558"	1	1	0.78	0.78	-110.322	NA	79.756	"C11H20N2O5"	"[M + H]+"	"C11H21N2O5+"	"YBAFDPFAUTYYRW"	"InChI=1S/C11H20N2O5/c1-6(2)5-8(11(17)18)13-10(16)7(12)3-4-9(14)15/h6-8H,3-5,12H2,1-2H3,(H,13,16)(H,14,15)(H,17,18)"	"2-(2-amino-4-carboxybutanamido)-4-methylpentanoic acid"	"CC(C)CC(C(=O)O)NC(=O)C(CCC(=O)O)N"	-0.457	"64887981;64888761;9856500;124433150;91974018;79001418;122173491"	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0128313);HMDB:(HMDB0028823);CHEBI:(73506);SUPERNATURAL:(SN0445471);FooDB:(FDB111867);PUBCHEM:(64887981 64888761 9856500 124433150 91974018 79001418 122173491);DSSTox:(DTXSID201315070);LOTUS:(Q27140586);PUBMED:(null)"	138264182890	261.145	189	3.149	637191889000252544	637163821393994368	13558	NA	"Amino acids and Peptides"	0.999	"Small peptides"	1	"Dipeptides"	0.991	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	1	"Peptides"	0.97	"Dipeptides"	0.853	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"	2530	749	271	260	32	460	29	46	27	42	737	7746	361	139	33	19	24	25	4216	7278	21	223	40
"P_4438"	1	1	0.522	0.522	-41.376	NA	27.929	"C7H8O4"	"[M + H]+"	"C7H9O4+"	"UOLOMNADBXPYGT"	"InChI=1S/C7H8O4/c1-3-10-6(8)5-7(9)11-4-2/h1-2H,3-5H2"	""	"[CH]COC(=O)CC(=O)OC[CH]"	0.988	"58051815"	"PUBCHEM:(58051815)"	2	157.049	189	3.154	637174178955886848	637163449505984768	4438	NA	"Fatty acids"	0.876	"Fatty esters"	0.601	"Wax monoesters"	0.226	"Organic acids and derivatives"	0.999	"Keto acids and derivatives"	0.893	"Beta-keto acids and derivatives"	0.875	""	NA	"Beta-keto acids and derivatives"	0.875	"Organic compounds; Lipids and lipid-like molecules; Ketones; 1,3-dicarbonyl compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Keto acids and derivatives; Carboxylic acid derivatives; Beta-keto acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	5142	10333	31958	588449	46	1202	55	36	23	28	2320	20266	60808	7093	16	24	30	43	21018	15131	27	25867	11
"P_3491"	1	1	0.671	0.671	-46.624	NA	28.176	"C9H7NO"	"[M + H]+"	"C9H8NO+"	"PMZDQRJGMBOQBF"	"InChI=1S/C9H7NO/c11-9-5-6-10-8-4-2-1-3-7(8)9/h1-6H,(H,10,11)"	"1,4-dihydroquinolin-4-one"	"C1=CC=C2C(=C1)C(=O)C=CN2"	1.658	"118894229;101283916;5254935;156612460;69141;3739140;18714203"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0246466);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(69141);SUPERNATURAL:(SN0289857);MESH:(69141);PUBCHEM:(118894229 101283916 5254935 156612460 69141 3739140 18714203);COCONUT:(CNP0216865);NORMAN:(NS00034582);METACYC:(CPD-25960 QUINOLIN-4-OL);CHEBI:(155900 15815);KEGG:(C06343);DSSTox:(DTXSID30993158 DTXSID50209980);LOTUS:(Q27098240);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	137832434030	146.06	190	3.163	637173510274640512	637163405574839936	3491	NA	"Alkaloids"	0.995	"Anthranilic acid alkaloids"	0.849	"Acridone alkaloids"	0.484	"Organoheterocyclic compounds"	0.972	"Quinolines and derivatives"	0.62	""	NA	""	NA	"Quinolines and derivatives"	0.62	"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Organooxygen compounds; Quinolines and derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	5174	1781	110925	26428	160	9678	102	19	60	49	7442	320558	274838	3689	68	30	44	62	732624	115864	76	8728	120
"P_3519"	1	1	0.934	0.95	-33.758	NA	27.264	"C7H15NO2"	"[M + H]+"	"C7H16NO2+"	"BQIVJVAZDJHDJF"	"InChI=1S/C7H15NO2/c1-4-10-7(9)6(8)5(2)3/h5-6H,4,8H2,1-3H3"	"l-Valine, ethyl ester"	"CCOC(=O)C(C(C)C)N"	0.9	"6932863;6951543;6951544;77906370;519419;87182"	"NORMAN:(NS00090204);BloodExposome:(87182);SUPERNATURAL:(SN0032584);PUBCHEM:(6932863 6951543 6951544 77906370 519419 87182);DSSTox:(DTXSID70170082 DTXSID80224520);PUBMED:(null)"	137444458562	146.117	190	3.169	637173523327316608	637163406745050880	3519	NA	"Amino acids and Peptides"	0.975	"Small peptides"	0.985	"Aminoacids"	0.982	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.999	"Amino acids and derivatives"	0.999	"Alpha amino acid esters"	0.95	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Alpha amino acid esters; Monoalkylamines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	120358	1708	104	1033	143	4071	63	60	235	53	1575	6691	4194	439	79	46	137	107	56331	3617	72	3663	71
"P_4273"	1	1	0.914	0.967	-14.173	NA	79.684	"C7H6O4"	"[M + H]+"	"C7H7O4+"	"YQUVCSBJEUQKSH"	"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)"	"Protocatehuic Acid"	"C1=CC(=C(C=C1C(=O)O)O)O"	0.475	"101076872;144332559;162642118;25214153;10534893;10630736;10678455;72;54675866"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0001856);MiMeDB:(MMDBc0048013 MMDBc0049961 MMDBc0054247);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(72 54675866);SUPERNATURAL:(SN0457823);MESH:(72 54675866);FooDB:(FDB031135);PUBCHEM:(101076872 144332559 162642118 25214153 10534893 10630736 10678455 72 54675866);COCONUT:(CNP0348948);NORMAN:(NS00014667);METACYC:(3-4-DIHYDROXYBENZOATE);PLANTCYC:(3-4-DIHYDROXYBENZOATE);CHEBI:(36062 36241);KEGG:(C00230);DSSTox:(DTXSID4021212 DTXSID40668229);LOTUS:(Q418599);YMDB:(YMDB01321);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(YQUVCSBJEUQKSH-UHFFFAOYSA-N)"	139577461118	155.033	192	3.206	637174010168657152	637163441507446144	4273	NA	"Shikimates and Phenylpropanoids"	0.962	"Phenolic acids (C6-C1)"	0.967	"Simple phenolic acids"	0.9	"Benzenoids"	0.916	"Benzene and substituted derivatives"	0.888	"Benzoic acids and derivatives"	0.75	"Hydroxybenzoic acid derivatives"	0.664	"Hydroxybenzoic acid derivatives"	0.664	"Organic compounds; Phenols; Catechols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Benzenediols; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	1241	895	648386	1136	43	10516	44	25	21	20	505	186727	10510	17463	34	25	32	30	1744	24347	18	5120	30
"P_1066"	1	1	0.586	0.586	-30.106	NA	80.759	"C7H6O"	"[M + H]+"	"C7H7O+"	"HUMNYLRZRPPJDN"	"InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H"	"benzaldehyde"	"C1=CC=C(C=C1)C=O"	1.576	"23290585;16213526;53897190;163629041;22861502;21345041;124004125;59037040;100957051;10351662;12998375;12998376;12998377;12998378;12998379;11007839;11159309;10877067;10887848;10931392;59963775;240;451255;117064281;18635297"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0006115);MiMeDB:(MMDBc0000253);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(240);SUPERNATURAL:(SN0135798);HSDB:(100-52-7);MESH:(240);FooDB:(FDB014661);PUBCHEM:(23290585 16213526 53897190 163629041 22861502 21345041 124004125 59037040 100957051 10351662 12998375 12998376 12998377 12998378 12998379 11007839 11159309 10877067 10887848 10931392 59963775 240 451255 117064281 18635297);GNPS:(CCMSLIB00000578071);COCONUT:(CNP0105179);NORMAN:(NS00008510);METACYC:(BENZALDEHYDE);PLANTCYC:(BENZALDEHYDE);CHEBI:(17169);KEGG:(C00193 C00261);DSSTox:(DTXSID00514617 DTXSID40514616 DTXSID40584016 DTXSID50447082 DTXSID50448670 DTXSID70457148 DTXSID8039241);LOTUS:(Q372524);YMDB:(YMDB01326);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(HUMNYLRZRPPJDN-UHFFFAOYSA-N)"	139577465726	107.049	193	3.214	637172409470957440	637163295549845376	1066	NA	"Shikimates and Phenylpropanoids"	0.814	"Phenylpropanoids (C6-C3)"	0.429	"Cinnamic acids and derivatives"	0.346	"Organic oxygen compounds"	1	"Organooxygen compounds"	0.999	"Carbonyl compounds"	0.983	"Aldehydes"	0.915	"Benzaldehydes"	0.636	"Organic compounds; Aldehydes; Benzoyl derivatives; Organooxygen compounds; Benzaldehydes; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl-aldehydes; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	1461	2779	815	19122	104	1956	96	138	74	24	806	10591	6017	1794	68	45	40	41	1629	170550	83	1604	60
